Equipo,Camisola,Posicion,Nombre,Fehca_nacimiento,Altura,Peso,Goles
Brazil,15,MF,PAULINHO,1988/07/25,181,81,1
Brazil,16,GK,CASSIO,1987/06/06,195,92,0
Brazil,17,MF,FERNANDINHO,1985/05/04,179,67,0
Brazil,18,MF,FRED,1993/03/05,169,64,0
Brazil,19,MF,WILLIAN,1988/08/09,175,77,0
Brazil,20,FW,ROBERTO FIRMINO,1991/10/02,181,76,0
Brazil,21,FW,TAISON,1988/01/13,172,64,0
Brazil,22,DF,FAGNER,1989/06/11,168,67,0
Brazil,23,GK,EDERSON,1993/08/17,188,86,0
Colombia,1,GK,David OSPINA,1988/08/31,183,80,0
Colombia,2,DF,Cristian ZAPATA,1986/09/30,187,82,0
Colombia,3,DF,Oscar MURILLO,1988/04/18,184,80,0
Colombia,4,DF,Santiago ARIAS,1992/01/13,177,71,0
Colombia,5,MF,Wilmar BARRIOS,1993/10/16,178,74,0
Colombia,6,MF,Carlos SANCHEZ,1986/02/06,182,82,0
Colombia,7,FW,Carlos BACCA,1986/09/08,181,77,0
Colombia,8,MF,Abel AGUILAR,1985/01/06,185,82,0
Colombia,9,FW,Radamel FALCAO,1986/02/10,177,72,1
Colombia,10,MF,James RODRIGUEZ,1991/07/12,180,75,0
Colombia,11,MF,Juan CUADRADO,1988/05/26,179,72,1
Colombia,12,GK,Camilo VARGAS,1989/03/09,185,80,0
Colombia,13,DF,Yerry MINA,1994/09/23,194,95,2
Colombia,14,FW,Luis MURIEL,1991/04/16,178,79,0
Colombia,15,MF,Mateus URIBE,1991/03/21,182,71,0
Colombia,16,MF,Jefferson LERMA,1994/10/25,179,70,0
Colombia,17,DF,Johan MOJICA,1992/08/21,185,66,0
Colombia,18,DF,Frank FABRA,1991/02/22,172,72,0
Colombia,19,FW,Miguel BORJA,1993/01/26,183,74,0
Colombia,20,MF,Juan QUINTERO,1993/01/18,169,64,1
Colombia,21,FW,Jose IZQUIERDO,1992/07/07,171,73,0
Colombia,22,GK,Jose CUADRADO,1985/06/01,180,80,0
Colombia,23,DF,Davinson SANCHEZ,1996/06/12,187,81,0
Costa Rica,1,GK,Keylor NAVAS,1986/12/15,185,80,0
Costa Rica,2,DF,Johnny ACOSTA,1983/07/21,176,75,0
Costa Rica,3,DF,Giancarlo GONZALEZ,1988/02/08,186,78,0
Costa Rica,4,DF,Ian SMITH,1998/03/06,177,68,0
Costa Rica,5,MF,Celso BORGES,1988/05/27,187,79,0
Costa Rica,6,DF,Oscar DUARTE,1989/06/03,186,81,0
Costa Rica,7,MF,Christian BOLANOS,1984/05/17,178,67,0
Costa Rica,8,DF,Bryan OVIEDO,1990/02/18,172,70,0
Costa Rica,9,MF,Daniel COLINDRES,1985/01/10,180,75,0
Costa Rica,10,MF,Bryan RUIZ,1985/08/18,187,73,0
Costa Rica,11,FW,Johan VENEGAS,1988/11/27,183,76,0
Costa Rica,12,FW,Joel CAMPBELL,1992/06/26,178,71,0
Costa Rica,13,MF,Rodney WALLACE,1988/06/17,180,70,0
Costa Rica,14,MF,Randall AZOFEIFA,1984/12/30,182,83,0
Costa Rica,15,DF,Francisco CALVO,1992/07/08,180,78,0
Costa Rica,16,DF,Cristian GAMBOA,1989/10/24,175,67,0
Costa Rica,17,MF,Yeltsin TEJEDA,1992/03/17,179,67,0
Costa Rica,18,GK,Patrick PEMBERTON,1982/04/24,178,72,0
Costa Rica,19,DF,Kendall WASTON,1988/01/01,196,87,1
Costa Rica,20,MF,David GUZMAN,1990/02/18,176,78,0
Costa Rica,21,FW,Marcos URENA,1990/03/05,181,70,0
Costa Rica,22,DF,Ronald MATARRITA,1994/07/09,175,70,0
Costa Rica,23,GK,Leonel MOREIRA,1990/04/02,179,70,0
Croatia,1,GK,Dominik LIVAKOVIC,1995/01/09,188,82,0
Croatia,2,DF,Sime VRSALJKO,1992/01/10,181,76,0
Croatia,3,DF,Ivan STRINIC,1987/07/17,186,78,0
Croatia,4,FW,Ivan PERISIC,1989/02/02,186,81,1
Croatia,5,DF,Vedran CORLUKA,1986/02/05,192,84,0
Croatia,6,DF,Dejan LOVREN,1989/07/05,188,84,0
Croatia,7,MF,Ivan RAKITIC,1988/03/10,184,78,1
Croatia,8,MF,Mateo KOVACIC,1994/05/06,178,78,0
Croatia,9,FW,Andrej KRAMARIC,1991/06/19,177,73,0
