Equipo,Camisola,Posicion,Nombre,Fehca_nacimiento,Altura,Peso,Goles
Nigeria,1,GK,Ikechukwu EZENWA,1988/10/16,181,80,0
Nigeria,2,DF,Bryan IDOWU,1992/05/18,179,75,0
Nigeria,3,DF,Elderson ECHIEJILE,1988/01/20,185,82,0
Nigeria,4,MF,Onyinye NDIDI,1996/12/16,184,73,0
Nigeria,5,DF,William EKONG,1993/09/01,191,85,0
Nigeria,6,DF,Leon BALOGUN,1988/06/28,190,89,0
Nigeria,7,FW,Ahmed MUSA,1992/10/14,173,65,2
Nigeria,8,MF,Oghenekaro ETEBO,1995/11/09,174,74,0
Nigeria,9,FW,Odion IGHALO,1989/06/16,188,83,0
Nigeria,10,MF,Obi MIKEL John,1987/04/22,188,82,0
Nigeria,11,FW,Victor MOSES,1990/12/12,177,75,1
Nigeria,12,DF,Abdullahi SHEHU,1993/03/12,182,75,0
Nigeria,13,FW,Simeon NWANKWO,1992/05/07,197,89,0
Nigeria,14,FW,Kelechi IHEANACHO,1996/03/10,183,80,0
Nigeria,15,MF,Joel OBI,1991/05/22,177,77,0
Nigeria,16,GK,Daniel AKPEYI,1986/03/08,187,94,0
Nigeria,17,MF,Ogenyi ONAZI,1992/12/25,172,74,0
Nigeria,18,FW,Alex IWOBI,1996/05/03,185,86,0
Nigeria,19,MF,John OGU,1988/04/20,191,90,0
Nigeria,20,DF,Chidozie AWAZIEM,1997/01/01,192,76,0
Nigeria,21,DF,Tyronne EBUEHI,1995/12/16,187,74,0
Nigeria,22,DF,Kenneth OMERUO,1993/10/17,185,82,0
Nigeria,23,GK,Francis UZOHO,1998/10/28,196,91,0
Panama,1,GK,Jaime PENEDO,1981/09/26,183,70,0
Panama,2,DF,Michael MURILLO,1996/02/11,183,78,0
Panama,3,DF,Harold CUMMINGS,1992/03/01,183,92,0
Panama,4,DF,Fidel ESCOBAR,1995/01/09,182,82,0
Panama,5,DF,Roman TORRES,1986/03/20,188,99,0
Panama,6,MF,Gabriel GOMEZ,1984/05/29,183,82,0
Panama,7,FW,Blas PEREZ,1981/03/13,187,83,0
Panama,8,MF,Edgar BARCENAS,1993/10/23,175,72,0
Panama,9,FW,Gabriel TORRES,1988/10/31,180,77,0
Panama,10,FW,Ismael DIAZ,1997/05/12,181,72,0
Panama,11,MF,Armando COOPER,1987/11/26,173,72,0
Panama,12,GK,Jose CALDERON,1985/08/14,187,87,0
Panama,13,DF,Adolfo MACHADO,1985/02/14,182,78,0
Panama,14,MF,Valentin PIMENTEL,1991/05/30,189,80,0
Panama,15,DF,Eric DAVIS,1991/03/31,180,81,0
Panama,16,FW,Abdiel ARROYO,1993/12/13,183,82,0
Panama,17,DF,Luis OVALLE,1988/09/07,178,75,0
Panama,18,FW,Luis TEJADA,1982/03/28,183,87,0
Panama,19,MF,Alberto QUINTERO,1987/12/18,165,62,0
Panama,20,MF,Anibal GODOY,1990/02/10,183,82,0
Panama,21,MF,Luis RODRIGUEZ Jose,1998/06/19,180,77,0
Panama,22,GK,Alex RODRIGUEZ,1990/08/05,197,83,0
Panama,23,DF,Felipe BALOY,1981/02/24,185,87,1
Peru,1,GK,Pedro GALLESE,1990/02/23,189,79,0
Peru,2,DF,Alberto RODRIGUEZ,1984/03/31,179,78,0
Peru,3,DF,Aldo CORZO,1989/05/20,172,75,0
Peru,4,DF,Anderson SANTAMARIA,1992/01/10,183,84,0
Peru,5,DF,Miguel ARAUJO,1994/10/24,178,77,0
Peru,6,DF,Miguel TRAUCO,1992/08/25,169,74,0
Peru,7,MF,Paolo HURTADO,1990/07/27,174,66,0
Peru,8,MF,Christian CUEVA,1991/11/23,169,69,0
Peru,9,FW,Paolo GUERRERO,1984/01/01,185,88,1
Peru,10,FW,Jefferson FARFAN,1984/10/26,177,85,0
Peru,11,FW,Raul RUIDIAZ,1990/07/25,169,67,0
Peru,12,GK,Carlos CACEDA,1991/09/27,184,78,0
Peru,13,MF,Renato TAPIA,1995/07/28,185,85,0
Peru,14,MF,Andy POLO,1994/09/29,174,71,0
Peru,15,DF,Christian RAMOS,1988/11/04,182,72,0
Peru,16,MF,Wilder CARTAGENA,1994/09/23,179,76,0
Peru,17,DF,Luis ADVINCULA,1990/03/02,178,80,0
Peru,18,FW,Andre CARRILLO,1991/06/14,182,77,1
Peru,19,MF,Yoshimar YOTUN,1990/04/07,172,69,0
Peru,20,FW,Edison FLORES,1994/05/14,170,72,0
Peru,21,GK,Jose CARVALLO,1986/03/01,182,84,0
Peru,22,DF,Nilson LOYOLA,1994/10/26,179,68,0
Peru,23,MF,Pedro AQUINO,1995/04/13,174,71,0
Poland,1,GK,Wojciech SZCZESNY,1990/04/18,195,84,0
Poland,2,DF,Michal PAZDAN,1987/09/21,181,78,0
Poland,3,DF,Artur JEDRZEJCZYK,1987/11/04,189,78,0
Poland,4,DF,Thiago CIONEK,1986/04/21,184,81,0
Poland,5,DF,Jan BEDNAREK,1996/04/12,189,77,1
Poland,6,MF,Jacek GORALSKI,1992/09/21,172,66,0
Poland,7,FW,Arkadiusz MILIK,1994/02/28,186,81,0
Poland,8,MF,Karol LINETTY,1995/02/02,176,73,0
Poland,9,FW,Robert LEWANDOWSKI,1988/08/21,185,79,0
Poland,10,MF,Grzegorz KRYCHOWIAK,1990/01/29,186,83,1
Poland,11,MF,Kamil GROSICKI,1988/06/08,180,78,0
Poland,12,GK,Bartosz BIALKOWSKI,1987/07/06,194,83,0
Poland,13,MF,Maciej RYBUS,1989/08/19,173,75,0
Poland,14,FW,Lukasz TEODORCZYK,1991/06/03,185,78,0
Poland,15,DF,Kamil GLIK,1988/02/03,190,80,0
Poland,16,MF,Jakub BLASZCZYKOWSKI,1985/12/14,175,71,0
Poland,17,MF,Slawomir PESZKO,1985/02/19,173,68,0
Poland,18,DF,Bartosz BERESZYNSKI,1992/07/12,182,72,0
Poland,19,MF,Piotr ZIELINSKI,1994/05/20,177,64,0
Poland,20,DF,Lukasz PISZCZEK,1985/06/03,184,79,0
Poland,21,MF,Rafal KURZAWA,1993/01/29,182,73,0
Poland,22,GK,Lukasz FABIANSKI,1985/04/18,190,83,0
Poland,23,FW,Dawid KOWNACKI,1997/03/14,185,75,0
Portugal,1,GK,RUI PATRICIO,1988/02/15,189,84,0
Portugal,2,DF,BRUNO ALVES,1981/11/27,187,83,0
Portugal,3,DF,PEPE,1983/02/26,188,81,1
Portugal,4,MF,MANUEL FERNANDES,1986/02/05,174,69,0
Portugal,5,DF,RAPHAEL GUERREIRO,1993/12/22,170,64,0
Portugal,6,DF,JOSE FONTE,1983/12/22,191,84,0
Portugal,7,FW,CRISTIANO RONALDO,1985/02/05,185,80,4
Portugal,8,MF,JOAO MOUTINHO,1986/09/08,170,61,0
Portugal,9,FW,ANDRE SILVA,1995/11/06,184,78,0
Portugal,10,MF,JOAO MARIO,1993/01/19,179,73,0
Portugal,11,MF,BERNARDO SILVA,1994/08/10,173,65,0
Portugal,12,GK,ANTHONY LOPES,1990/10/01,184,81,0
Portugal,13,DF,RUBEN DIAS,1997/05/14,187,83,0
Portugal,14,MF,WILLIAM,1992/04/07,190,80,0
Portugal,15,DF,RICARDO,1993/10/06,174,70,0
Portugal,16,MF,BRUNO FERNANDES,1994/09/08,183,64,0
Portugal,17,FW,GONCALO GUEDES,1996/11/29,179,72,0
Portugal,18,FW,GELSON MARTINS,1995/05/11,173,63,0
Portugal,19,DF,MARIO RUI,1991/05/27,168,67,0
Portugal,20,FW,RICARDO QUARESMA,1983/09/26,175,73,1
Portugal,21,DF,CEDRIC,1991/08/31,172,67,0
Portugal,22,GK,BETO,1982/05/01,183,79,0
Portugal,23,MF,ADRIEN SILVA,1989/03/15,176,72,0
Russia,1,GK,Igor AKINFEEV,1986/04/08,185,83,0
Russia,2,DF,MARIO FERNANDES,1990/09/19,187,79,0
Russia,3,DF,Ilya KUTEPOV,1993/07/29,190,82,0
Russia,4,DF,Sergey IGNASHEVICH,1979/07/14,186,84,0
Russia,5,DF,Andrey SEMENOV,1989/03/24,191,87,0
Russia,6,MF,Denis CHERYSHEV,1990/12/26,173,68,3
Russia,7,MF,Daler KUZIAEV,1993/01/15,182,74,0
Russia,8,MF,Iury GAZINSKY,1989/07/20,180,75,1
Russia,9,MF,Alan DZAGOEV,1990/06/17,178,73,0
Russia,10,FW,Fedor SMOLOV,1990/02/09,185,79,0
Russia,11,MF,Roman ZOBNIN,1994/02/11,185,77,0
Russia,12,GK,Andrei LUNEV,1991/11/13,189,80,0
Russia,13,DF,Fedor KUDRIASHOV,1987/04/05,187,78,0
Russia,14,DF,Vladimir GRANAT,1987/05/22,184,80,0
Russia,15,MF,Alexey MIRANCHUK,1995/10/17,185,77,0
Russia,16,MF,Anton MIRANCHUK,1995/10/17,182,67,0
Russia,17,MF,Aleksandr GOLOVIN,1996/05/30,178,70,1
Russia,18,MF,Yury ZHIRKOV,1983/08/20,180,76,0
Russia,19,MF,Alexander SAMEDOV,1984/07/19,178,74,0
Russia,20,GK,Vladimir GABULOV,1983/10/19,190,81,0
Russia,21,MF,Aleksandr EROKHIN,1989/10/13,191,79,0
Russia,22,FW,Artem DZYUBA,1988/08/22,196,90,3
Russia,23,DF,Igor SMOLNIKOV,1988/08/08,179,72,0
Saudi Arabia,1,GK,ABDULLAH ALMUAIOUF,1987/01/23,178,98,0
Saudi Arabia,2,DF,MANSOUR ALHARBI,1987/10/19,173,68,0
Saudi Arabia,3,DF,OSAMA HAWSAWI,1984/03/31,188,83,0
Saudi Arabia,4,DF,ALI ALBULAYHI,1989/11/21,182,83,0
Saudi Arabia,5,DF,OMAR OTHMAN,1985/09/27,185,76,0
Saudi Arabia,6,DF,MOHAMMED ALBURAYK,1992/09/15,173,61,0
Saudi Arabia,7,MF,SALMAN ALFARAJ,1989/08/01,179,63,1
Saudi Arabia,8,MF,YAHIA ALSHEHRI,1990/06/26,165,63,0
Saudi Arabia,9,MF,HATAN BAHBIR,1992/07/16,170,66,0
Saudi Arabia,10,FW,MOHAMMED ALSAHLAWI,1987/01/10,179,75,0
Saudi Arabia,11,MF,ABDULMALEK ALKHAIBRI,1986/03/13,177,73,0
Saudi Arabia,12,MF,MOHAMED KANNO,1994/09/22,192,73,0
Saudi Arabia,13,DF,YASIR ALSHAHRANI,1992/05/25,170,63,0
Saudi Arabia,14,MF,ABDULLAH OTAYF,1992/08/03,177,66,0
Saudi Arabia,15,MF,ABDULLAH ALKHAIBARI,1996/08/16,175,66,0
Saudi Arabia,16,MF,HUSSAIN ALMOQAHWI,1988/03/24,174,76,0
Saudi Arabia,17,MF,TAISEER ALJASSAM,1984/07/25,169,69,0
Saudi Arabia,18,MF,SALEM ALDAWSARI,1991/08/19,174,68,1
Saudi Arabia,19,FW,FAHAD ALMUWALLAD,1994/09/14,168,65,0
Saudi Arabia,20,FW,MUHANNAD ASIRI,1986/10/14,185,79,0
Saudi Arabia,21,GK,YASSER ALMOSAILEM,1984/02/27,186,88,0
Saudi Arabia,22,GK,MOHAMMED ALOWAIS,1991/10/10,187,79,0
Saudi Arabia,23,DF,MOTAZ HAWSAWI,1992/02/17,180,79,0
Senegal,1,GK,Abdoulaye DIALLO,1992/03/30,189,79,0
Senegal,2,DF,Saliou CISS,1989/06/15,173,69,0
Senegal,3,DF,Kalidou KOULIBALY,1991/06/20,195,89,0
Senegal,4,DF,Kara MBODJI,1989/11/22,192,85,0
Senegal,5,MF,Gana Idrissa GUEYE,1989/09/26,174,64,0
Senegal,6,MF,Salif SANE,1990/08/25,196,84,0
Senegal,7,FW,Moussa SOW,1986/01/19,180,75,0
Senegal,8,MF,Cheikhou KOUYATE,1989/12/21,189,75,0
Senegal,9,FW,Mame DIOUF,1987/12/16,185,81,0
Senegal,10,FW,Sadio MANE,1992/04/10,175,69,1
Senegal,11,MF,Cheikh NDOYE,1986/03/29,192,90,0
Senegal,12,DF,Youssouf SABALY,1993/03/05,174,71,0
Senegal,13,MF,Alfred NDIAYE,1990/03/06,186,80,0
Senegal,14,FW,Moussa KONATE,1993/04/03,180,78,0
Senegal,15,FW,Diafra SAKHO,1989/12/24,184,79,0
Senegal,16,GK,Khadim NDIAYE,1985/04/05,185,80,0
Senegal,17,MF,Alioune NDIAYE Pape,1990/10/27,181,74,0
Senegal,18,FW,Ismaila SARR,1998/02/25,175,70,0
Senegal,19,FW,Mbaye NIANG,1994/12/19,184,74,1
Senegal,20,FW,Keita BALDE,1995/03/08,181,77,0
Senegal,21,DF,Lamine GASSAMA,1989/10/20,181,74,0
Senegal,22,DF,Moussa WAGUE,1998/10/04,177,70,1
Senegal,23,GK,Alfred GOMIS,1993/09/05,196,80,0
Serbia,1,GK,Vladimir STOJKOVIC,1983/07/28,195,92,0
Serbia,2,DF,Antonio RUKAVINA,1984/01/26,177,71,0
Serbia,3,DF,Dusko TOSIC,1985/01/19,185,79,0
Serbia,4,MF,Luka MILIVOJEVIC,1991/04/07,186,80,0
Serbia,5,DF,Uros SPAJIC,1993/02/13,188,82,0
Serbia,6,DF,Branislav IVANOVIC,1984/02/22,185,89,0
Serbia,7,MF,Andrija ZIVKOVIC,1996/07/11,169,68,0
Serbia,8,FW,Aleksandar PRIJOVIC,1990/04/21,191,88,0
Serbia,9,FW,Aleksandar MITROVIC,1994/09/16,189,82,1
Serbia,10,MF,Dusan TADIC,1988/11/20,181,76,0
Serbia,11,DF,Aleksandar KOLAROV,1985/11/10,187,83,1
Serbia,12,GK,Predrag RAJKOVIC,1995/10/31,191,85,0
Serbia,13,DF,Milos VELJKOVIC,1995/09/26,188,77,0
Serbia,14,DF,Milan RODIC,1991/04/02,185,69,0
Serbia,15,DF,Nikola MILENKOVIC,1997/10/12,195,90,0
Serbia,16,MF,Marko GRUJIC,1996/04/13,190,82,0
Serbia,17,MF,Filip KOSTIC,1992/11/01,184,82,0
Serbia,18,FW,Nemanja RADONJIC,1996/02/15,185,76,0
Serbia,19,FW,Luka JOVIC,1997/12/23,181,75,0
Serbia,20,MF,Sergej MILINKOVIC-SAVIC,1995/02/27,192,76,0
Serbia,21,MF,Nemanja MATIC,1988/08/01,194,86,0
Serbia,22,MF,Adem LJAJIC,1991/09/29,182,74,0
Serbia,23,GK,Marko DMITROVIC,1992/01/24,194,90,0
Spain,1,GK,David DE GEA,1990/11/07,190,71,0
Spain,2,DF,Dani CARVAJAL,1992/01/11,173,73,0
Spain,3,DF,Gerard PIQUE,1987/02/02,194,85,0
Spain,4,DF,NACHO,1990/01/18,179,77,1
Spain,5,MF,Sergio BUSQUETS,1988/07/16,189,78,0
Spain,6,MF,Andres INIESTA,1984/05/11,171,68,0
Spain,7,MF,SAUL,1994/11/21,183,76,0
Spain,8,MF,KOKE,1992/01/08,176,73,0
Spain,9,FW,RODRIGO,1991/03/06,182,72,0
Spain,10,MF,THIAGO,1991/04/11,174,70,0
Spain,11,FW,Lucas VAZQUEZ,1991/07/01,173,70,0
Spain,12,DF,Alvaro ODRIOZOLA,1995/12/14,178,67,0
Spain,13,GK,Kepa ARRIZABALAGA,1994/10/03,189,84,0
Spain,14,DF,Cesar AZPILICUETA,1989/08/28,178,78,0
Spain,15,DF,Sergio RAMOS,1986/03/30,183,75,0
Spain,16,DF,Nacho MONREAL,1986/02/26,179,72,0
Spain,17,FW,Iago ASPAS,1987/08/01,176,67,1
Spain,18,DF,Jordi ALBA,1989/03/21,170,68,0
Spain,19,FW,Diego COSTA,1988/10/07,185,86,3
Spain,20,MF,Marco ASENSIO,1996/01/21,182,76,0
Spain,21,FW,David SILVA,1986/01/08,170,67,0
Spain,22,MF,ISCO,1992/04/21,176,74,1
Spain,23,GK,Pepe REINA,1982/08/31,188,92,0
Sweden,1,GK,Robin OLSEN,1990/01/08,198,89,0
Sweden,2,DF,Mikael LUSTIG,1986/12/13,189,77,0
Sweden,3,DF,Victor LINDELOF,1994/07/17,187,81,0
Sweden,4,DF,Andreas GRANQVIST,1985/04/16,192,84,2
Sweden,5,DF,Martin OLSSON,1988/05/17,177,81,0
Sweden,6,DF,Ludwig AUGUSTINSSON,1994/04/21,181,76,1
Sweden,7,MF,Sebastian LARSSON,1985/06/06,178,70,0
Sweden,8,MF,Albin EKDAL,1989/07/28,186,75,0
Sweden,9,FW,Marcus BERG,1986/08/17,183,76,0
Sweden,10,MF,Emil FORSBERG,1991/10/23,179,78,0
Sweden,11,FW,John GUIDETTI,1992/04/15,185,79,0
Sweden,12,GK,Karl-Johan JOHNSSON,1990/01/28,187,83,0
Sweden,13,MF,Gustav SVENSSON,1987/02/07,183,77,0
Sweden,14,DF,Filip HELANDER,1993/04/22,192,83,0
Sweden,15,MF,Oscar HILJEMARK,1992/06/28,184,73,0
Sweden,16,DF,Emil KRAFTH,1994/08/02,181,72,0
Sweden,17,MF,Viktor CLAESSON,1992/01/02,183,79,0
Sweden,18,DF,Pontus JANSSON,1991/02/13,194,89,0
Sweden,19,MF,Marcus ROHDEN,1991/05/11,182,76,0
Sweden,20,FW,Ola TOIVONEN,1986/07/03,192,78,1
Sweden,21,MF,Jimmy DURMAZ,1989/03/22,180,69,0
Sweden,22,FW,Kiese THELIN Isaac,1992/06/24,189,83,0
Sweden,23,GK,Kristoffer NORDFELDT,1989/06/23,190,85,0
Switzerland,1,GK,Yann SOMMER,1988/12/17,183,81,0
Switzerland,2,DF,Stephan LICHTSTEINER,1984/01/16,181,77,0
Switzerland,3,DF,Francois MOUBANDJE,1990/06/21,180,76,0
Switzerland,4,DF,Nico ELVEDI,1996/09/30,187,77,0
Switzerland,5,DF,Manuel AKANJI,1995/07/19,186,85,0
Switzerland,6,DF,Michael LANG,1991/02/08,185,78,0
Switzerland,7,FW,Breel EMBOLO,1997/02/14,184,86,0
Switzerland,8,MF,Remo FREULER,1992/04/15,181,75,0
Switzerland,9,FW,Haris SEFEROVIC,1992/02/22,186,88,0
Switzerland,10,MF,Granit XHAKA,1992/09/27,183,82,1
Switzerland,11,MF,Valon BEHRAMI,1985/04/19,184,78,0
Switzerland,12,GK,Yvon MVOGO,1994/06/06,186,84,0
Switzerland,13,DF,Ricardo RODRIGUEZ,1992/08/25,180,79,0
Switzerland,14,MF,Steven ZUBER,1991/08/17,182,79,1
Switzerland,15,MF,Blerim DZEMAILI,1986/04/12,180,77,1
Switzerland,16,MF,Gelson FERNANDES,1986/09/02,180,72,0
Switzerland,17,MF,Denis ZAKARIA,1996/11/20,189,77,0
Switzerland,18,FW,Mario GAVRANOVIC,1989/11/24,175,75,0
Switzerland,19,FW,Josip DRMIC,1992/08/08,184,78,1
Switzerland,20,DF,Johan DJOUROU,1987/01/18,192,90,0
Switzerland,21,GK,Roman BUERKI,1990/11/14,188,83,0
Switzerland,22,DF,Fabian SCHAER,1991/12/20,186,83,0
Switzerland,23,MF,Xherdan SHAQIRI,1991/10/10,165,78,1
Tunisia,1,GK,Farouk BEN MUSTAPHA,1989/07/01,192,85,0
Tunisia,2,DF,Syam BEN YOUSSEF,1989/03/31,189,87,1
Tunisia,3,DF,Yohan BEN ALOUANE,1987/03/28,185,75,0
Tunisia,4,DF,Yassine MERIAH,1993/07/02,183,70,0
Tunisia,5,DF,Oussama HADDADI,1992/01/28,185,76,0
Tunisia,6,DF,Rami BEDOUI,1990/01/19,187,77,0
Tunisia,7,FW,Saifeddine KHAOUI,1995/04/27,180,76,0
Tunisia,8,FW,Fakhreddine BEN YOUSSEF,1991/06/23,189,80,0
Tunisia,9,MF,Anice BADRI,1990/09/18,178,70,0
Tunisia,10,FW,Wahbi KHAZRI,1991/02/08,182,76,2
Tunisia,11,DF,Dylan BRONN,1995/06/19,186,75,1
Tunisia,12,DF,Ali MAALOUL,1990/01/01,170,72,0
Tunisia,13,MF,Ferjani SASSI,1992/03/18,186,80,1
Tunisia,14,MF,Mohamed BEN AMOR,1992/05/03,180,75,0
Tunisia,15,FW,Ahmed KHALIL,1994/12/21,187,75,0
Tunisia,16,GK,Aymen MATHLOUTHI,1984/09/14,182,84,0
Tunisia,17,MF,Ellyes SKHIRI,1995/05/10,185,69,0
Tunisia,18,FW,Bassem SRARFI,1997/06/25,176,71,0
Tunisia,19,FW,Saber KHALIFA,1986/10/14,185,72,0
Tunisia,20,FW,Ghaylen CHAALELI,1994/02/28,179,70,0
Tunisia,21,DF,Hamdi NAGUEZ,1992/10/28,186,75,0
Tunisia,22,GK,Mouez HASSEN,1995/03/05,186,70,0
Tunisia,23,FW,Naim SLITI,1992/07/27,173,65,0
Uruguay,1,GK,Fernando MUSLERA,1986/06/16,190,74,0
Uruguay,2,DF,Jose GIMENEZ,1995/01/20,185,77,1
Uruguay,3,DF,Diego GODIN,1986/02/16,185,73,0
Uruguay,4,DF,Guillermo VARELA,1993/03/24,173,70,0
Uruguay,5,MF,Carlos SANCHEZ,1984/12/02,171,74,0
Uruguay,6,MF,Rodrigo BENTANCUR,1997/06/25,187,73,0
Uruguay,7,MF,Cristian RODRIGUEZ,1985/09/30,178,79,0
Uruguay,8,MF,Nahitan NANDEZ,1995/12/28,171,61,0
Uruguay,9,FW,Luis SUAREZ,1987/01/24,182,85,2
Uruguay,10,FW,Giorgian DE ARRASCAETA,1994/06/01,172,64,0
Uruguay,11,FW,Cristhian STUANI,1986/10/12,186,78,0
Uruguay,12,GK,Martin CAMPANA,1989/05/29,184,79,0
Uruguay,13,DF,Gaston SILVA,1994/03/05,185,74,0
Uruguay,14,MF,Lucas TORREIRA,1996/02/11,168,61,0
Uruguay,15,MF,Matias VECINO,1991/08/24,189,80,0
Uruguay,16,DF,Maximiliano PEREIRA,1984/06/08,173,73,0
Uruguay,17,MF,Diego LAXALT,1993/02/07,178,66,0
Uruguay,18,FW,Maximiliano GOMEZ,1996/08/14,186,85,0
Uruguay,19,DF,Sebastian COATES,1990/10/07,196,89,0
Uruguay,20,FW,Jonathan URRETAVISCAYA,1990/03/19,172,66,0
Uruguay,21,FW,Edinson CAVANI,1987/02/14,188,78,3
Uruguay,22,DF,Martin CACERES,1987/04/07,178,75,0
Uruguay,23,GK,Martin SILVA,1983/03/25,187,82,0
